,year,round,team1,team2,hscore,ascore
405,2019,24,Richmond,Brisbane Lions,65,112
406,2019,24,Collingwood,Geelong,51,61
407,2019,24,Western Bulldogs,Greater Western Sydney,113,55
408,2019,24,Essendon,West Coast,116,61
409,2019,25,Greater Western Sydney,Brisbane Lions,80,83
410,2019,25,West Coast,Geelong,88,68
411,2019,26,Greater Western Sydney,Collingwood,52,56
412,2019,26,Geelong,Richmond,85,66
413,2019,27,Greater Western Sydney,Richmond,114,25
414,2020,1,Sydney,Adelaide,71,74
415,2020,1,Fremantle,Essendon,63,57
416,2020,1,Port Adelaide,Gold Coast,29,76
417,2020,1,Geelong,Greater Western Sydney,105,73
418,2020,1,Brisbane Lions,Hawthorn,90,62
419,2020,1,St Kilda,North Melbourne,56,54
420,2020,1,Carlton,Richmond,105,81
421,2020,1,Melbourne,West Coast,78,51
422,2020,1,Collingwood,Western Bulldogs,34,86
423,2020,2,Fremantle,Brisbane Lions,81,69
424,2020,2,Melbourne,Carlton,53,54
425,2020,2,Richmond,Collingwood,36,36
426,2020,2,Hawthorn,Geelong,108,47
427,2020,2,West Coast,Gold Coast,90,46
428,2020,2,North Melbourne,Greater Western Sydney,60,80
429,2020,2,Adelaide,Port Adelaide,110,35
430,2020,2,Western Bulldogs,St Kilda,88,49
431,2020,2,Essendon,Sydney,73,79
432,2020,3,West Coast,Brisbane Lions,74,44
433,2020,3,St Kilda,Collingwood,81,37
434,2020,3,Port Adelaide,Fremantle,41,70
435,2020,3,Carlton,Geelong,77,79
436,2020,3,Adelaide,Gold Coast,82,29
437,2020,3,Sydney,North Melbourne,60,71
438,2020,3,Hawthorn,Richmond,39,71
439,2020,3,Greater Western Sydney,Western Bulldogs,57,33
440,2020,4,Adelaide,Brisbane Lions,83,46
441,2020,4,Carlton,Essendon,51,52
442,2020,4,Fremantle,Gold Coast,64,51
443,2020,4,Collingwood,Greater Western Sydney,66,64
444,2020,4,North Melbourne,Hawthorn,58,54
445,2020,4,Geelong,Melbourne,44,47
446,2020,4,West Coast,Port Adelaide,89,41
447,2020,4,Richmond,St Kilda,93,67
448,2020,4,Western Bulldogs,Sydney,39,67
449,2020,5,Fremantle,Adelaide,34,54
450,2020,5,Port Adelaide,Brisbane Lions,85,48
451,2020,5,St Kilda,Carlton,55,73
452,2020,5,Essendon,Collingwood,48,63
453,2020,5,Gold Coast,Geelong,89,52
454,2020,5,Hawthorn,Greater Western Sydney,83,49
455,2020,5,Richmond,Melbourne,52,79
456,2020,5,Sydney,West Coast,77,43
457,2020,5,North Melbourne,Western Bulldogs,87,38
458,2020,6,Western Bulldogs,Carlton,103,51
459,2020,6,Hawthorn,Collingwood,59,27
460,2020,6,North Melbourne,Essendon,67,53
461,2020,6,St Kilda,Fremantle,79,73
462,2020,6,Brisbane Lions,Geelong,73,46
463,2020,6,Gold Coast,Melbourne,80,63
464,2020,6,Greater Western Sydney,Port Adelaide,63,46
465,2020,6,Sydney,Richmond,34,26
466,2020,6,Adelaide,West Coast,67,34
467,2020,7,St Kilda,Adelaide,55,78
468,2020,7,Port Adelaide,Carlton,61,64
469,2020,7,Western Bulldogs,Essendon,51,93
470,2020,7,West Coast,Fremantle,32,62
471,2020,7,Collingwood,Geelong,35,57
472,2020,7,Brisbane Lions,Greater Western Sydney,68,88
473,2020,7,Melbourne,Hawthorn,48,91
474,2020,7,North Melbourne,Richmond,77,23
475,2020,7,Gold Coast,Sydney,60,92
476,2020,8,Essendon,Adelaide,59,62
477,2020,8,Geelong,Fremantle,16,48
478,2020,8,Western Bulldogs,Gold Coast,46,51
479,2020,8,Richmond,Greater Western Sydney,62,50
480,2020,8,Brisbane Lions,Melbourne,49,53
481,2020,8,Carlton,North Melbourne,57,64
482,2020,8,St Kilda,Port Adelaide,44,73
483,2020,8,Hawthorn,Sydney,60,53
484,2020,8,Collingwood,West Coast,111,45
485,2020,9,Hawthorn,Carlton,58,89
486,2020,9,Brisbane Lions,Essendon,28,91
487,2020,9,Collingwood,Fremantle,61,49
488,2020,9,Greater Western Sydney,Gold Coast,35,61
489,2020,9,Port Adelaide,Melbourne,32,83
490,2020,9,Adelaide,North Melbourne,119,50
491,2020,9,Sydney,St Kilda,101,48
492,2020,9,Geelong,West Coast,73,64
493,2020,9,Richmond,Western Bulldogs,49,90
494,2020,10,Melbourne,Adelaide,37,88
495,2020,10,Sydney,Collingwood,50,41
496,2020,10,Greater Western Sydney,Essendon,55,59
497,2020,10,North Melbourne,Geelong,90,57
498,2020,10,St Kilda,Gold Coast,74,78
499,2020,10,Western Bulldogs,Port Adelaide,55,42
500,2020,10,Brisbane Lions,Richmond,82,41
501,2020,11,Collingwood,Adelaide,38,62
502,2020,11,Western Bulldogs,Brisbane Lions,96,72
503,2020,11,Hawthorn,Fremantle,48,32
504,2020,11,Essendon,Gold Coast,73,73
505,2020,11,North Melbourne,Melbourne,92,35
506,2020,11,Richmond,Port Adelaide,93,72
507,2020,11,Geelong,St Kilda,34,93
508,2020,11,Carlton,West Coast,72,50
509,2020,12,Carlton,Fremantle,36,40
510,2020,12,Port Adelaide,Geelong,91,31
511,2020,12,Collingwood,Melbourne,100,44
512,2020,12,Brisbane Lions,North Melbourne,52,53
513,2020,12,Gold Coast,Richmond,53,32
514,2020,12,Essendon,St Kilda,68,33
515,2020,12,Greater Western Sydney,Sydney,66,25
516,2020,12,Hawthorn,West Coast,81,49
517,2020,12,Adelaide,Western Bulldogs,111,54
518,2020,13,Geelong,Adelaide,37,65
519,2020,13,St Kilda,Brisbane Lions,50,48
520,2020,13,North Melbourne,Collingwood,65,35
521,2020,13,Richmond,Essendon,61,73
522,2020,13,Sydney,Fremantle,50,19
523,2020,13,Carlton,Gold Coast,27,60
524,2020,13,Hawthorn,Port Adelaide,68,58
525,2020,13,Greater Western Sydney,West Coast,61,49
526,2020,13,Melbourne,Western Bulldogs,80,52
527,2020,14,Collingwood,Carlton,48,72
528,2020,14,Greater Western Sydney,Fremantle,53,91
529,2020,14,North Melbourne,Gold Coast,91,28
530,2020,14,Essendon,Hawthorn,71,87
531,2020,14,St Kilda,Melbourne,52,49
532,2020,14,Sydney,Port Adelaide,73,47
533,2020,14,West Coast,Richmond,88,61
534,2020,14,Geelong,Western Bulldogs,61,72
535,2020,15,Collingwood,Brisbane Lions,42,34
536,2020,15,Carlton,Greater Western Sydney,48,39
537,2020,15,Adelaide,Hawthorn,48,83
538,2020,15,Fremantle,Richmond,56,29
539,2020,15,Melbourne,Sydney,67,46
540,2020,15,Essendon,West Coast,60,45
541,2020,16,Greater Western Sydney,Adelaide,59,47
542,2020,16,Gold Coast,Brisbane Lions,88,43
543,2020,16,Sydney,Carlton,57,52
544,2020,16,Essendon,Geelong,108,42
545,2020,16,Fremantle,Melbourne,33,47
546,2020,16,Port Adelaide,North Melbourne,42,78
547,2020,16,Hawthorn,St Kilda,80,66
548,2020,16,West Coast,Western Bulldogs,49,47
549,2020,17,Adelaide,Carlton,56,72
550,2020,17,Gold Coast,Collingwood,68,46
551,2020,17,Richmond,Geelong,31,57
552,2020,17,Melbourne,Greater Western Sydney,74,79
553,2020,17,Western Bulldogs,Hawthorn,40,76
554,2020,17,Fremantle,North Melbourne,35,99
555,2020,17,Essendon,Port Adelaide,79,29
556,2020,17,West Coast,St Kilda,50,65
557,2020,17,Brisbane Lions,Sydney,41,73
558,2020,18,Richmond,Adelaide,33,77
559,2020,18,Carlton,Brisbane Lions,78,61
560,2020,18,Port Adelaide,Collingwood,45,61
561,2020,18,Melbourne,Essendon,49,68
562,2020,18,Western Bulldogs,Fremantle,44,74
563,2020,18,Gold Coast,Hawthorn,108,57
564,2020,18,West Coast,North Melbourne,34,49
565,2020,18,Greater Western Sydney,St Kilda,82,30
566,2020,18,Geelong,Sydney,63,69
567,2020,19,Richmond,Brisbane Lions,69,54
568,2020,19,Geelong,Port Adelaide,58,42
569,2020,19,Western Bulldogs,St Kilda,67,64
570,2020,19,Collingwood,West Coast,75,76
571,2020,20,Collingwood,Geelong,100,32
572,2020,20,St Kilda,Richmond,80,49
573,2020,21,Geelong,Brisbane Lions,42,82
574,2020,21,Richmond,Port Adelaide,40,46
575,2020,22,Geelong,Richmond,81,50
576,2021,1,Geelong,Adelaide,103,91
577,2021,1,Sydney,Brisbane Lions,94,125
578,2021,1,Western Bulldogs,Collingwood,53,69
